31-03-2026 19:09:03 | POST | cafeteria-api/produtos
31-03-2026 19:09:06 | POST | cafeteria-api/produtos
31-03-2026 19:09:07 | POST | cafeteria-api/produtos
31-03-2026 19:09:08 | POST | cafeteria-api/produtos
31-03-2026 19:09:08 | POST | cafeteria-api/produtos
31-03-2026 19:09:09 | POST | cafeteria-api/produtos
31-03-2026 19:09:10 | POST | cafeteria-api/produtos
31-03-2026 19:09:10 | POST | cafeteria-api/produtos
31-03-2026 19:09:10 | POST | cafeteria-api/produtos
31-03-2026 19:09:10 | POST | cafeteria-api/produtos
31-03-2026 19:09:10 | POST | cafeteria-api/produtos
31-03-2026 19:09:11 | POST | cafeteria-api/produtos
31-03-2026 19:09:11 | POST | cafeteria-api/produtos
31-03-2026 19:09:11 | POST | cafeteria-api/produtos
31-03-2026 19:09:11 | POST | cafeteria-api/produtos
31-03-2026 19:09:11 | POST | cafeteria-api/produtos
31-03-2026 19:09:12 | POST | cafeteria-api/produtos
31-03-2026 19:09:12 | POST | cafeteria-api/produtos
31-03-2026 19:09:12 | POST | cafeteria-api/produtos
31-03-2026 19:09:13 | POST | cafeteria-api/produtos
31-03-2026 19:09:13 | POST | cafeteria-api/produtos
31-03-2026 19:09:13 | POST | cafeteria-api/produtos
31-03-2026 19:09:14 | POST | cafeteria-api/produtos
31-03-2026 19:09:14 | POST | cafeteria-api/produtos
31-03-2026 19:09:14 | POST | cafeteria-api/produtos
31-03-2026 19:09:38 | POST | cafeteria-api/produtos
31-03-2026 19:11:26 | POST | cafeteria-api/produtos
31-03-2026 19:14:14 | POST | cafeteria-api/produtos
31-03-2026 19:14:15 | POST | cafeteria-api/produtos
31-03-2026 19:14:56 | GET | cafeteria-api/produtos.php
31-03-2026 19:15:17 | GET | cafeteria-api/produtos
31-03-2026 19:16:02 | GET | cafeteria-api/produtos
31-03-2026 19:16:03 | GET | cafeteria-api/produtos
31-03-2026 19:18:47 | GET | cafeteria-api/produtos
31-03-2026 19:19:20 | GET | cafeteria-api/produtos
31-03-2026 19:19:23 | GET | cafeteria-api/produtos
31-03-2026 19:19:23 | GET | cafeteria-api/produtos.php
31-03-2026 19:19:23 | GET | cafeteria-api/categorias
31-03-2026 19:19:27 | GET | cafeteria-api/produtos
31-03-2026 19:19:28 | GET | cafeteria-api/categorias
31-03-2026 19:19:28 | GET | cafeteria-api/produtos
31-03-2026 19:20:02 | POST | cafeteria-api/produtos
31-03-2026 19:20:02 | GET | cafeteria-api/produtos
31-03-2026 19:27:17 | GET | cafeteria-api/produtos
31-03-2026 19:27:18 | GET | cafeteria-api/produtos
31-03-2026 19:27:29 | GET | cafeteria-api/produtos
31-03-2026 19:27:29 | GET | cafeteria-api/produtos
31-03-2026 19:27:33 | GET | cafeteria-api/produtos
31-03-2026 19:27:34 | GET | cafeteria-api/produtos
31-03-2026 19:27:34 | GET | cafeteria-api/produtos
31-03-2026 19:27:34 | GET | cafeteria-api/produtos
31-03-2026 19:27:42 | GET | cafeteria-api/produtos
31-03-2026 19:27:42 | GET | cafeteria-api/produtos
31-03-2026 19:27:46 | GET | cafeteria-api/produtos
31-03-2026 19:27:46 | GET | cafeteria-api/produtos
31-03-2026 19:27:47 | GET | cafeteria-api/produtos
31-03-2026 19:27:47 | GET | cafeteria-api/produtos
31-03-2026 19:27:50 | GET | cafeteria-api/produtos
31-03-2026 19:27:50 | GET | cafeteria-api/produtos
31-03-2026 19:28:35 | GET | cafeteria-api/produtos
31-03-2026 19:28:35 | GET | cafeteria-api/produtos
31-03-2026 19:28:51 | GET | cafeteria-api/produtos
31-03-2026 19:28:51 | GET | cafeteria-api/produtos
31-03-2026 19:31:05 | GET | cafeteria-api/produtos
31-03-2026 19:31:05 | GET | cafeteria-api/produtos
31-03-2026 19:31:07 | GET | cafeteria-api/produtos
31-03-2026 19:31:07 | GET | cafeteria-api/produtos
31-03-2026 19:31:10 | GET | cafeteria-api/produtos
31-03-2026 19:31:10 | GET | cafeteria-api/produtos
31-03-2026 19:32:22 | POST | cafeteria-api/produtos
31-03-2026 19:32:22 | GET | cafeteria-api/produtos
31-03-2026 19:32:30 | OPTIONS | cafeteria-api/produtos/2
31-03-2026 19:32:30 | DELETE | cafeteria-api/produtos/2
31-03-2026 19:32:31 | DELETE | cafeteria-api/produtos/2
31-03-2026 19:32:31 | OPTIONS | cafeteria-api/produtos/32
31-03-2026 19:32:31 | DELETE | cafeteria-api/produtos/32
