2026-04-10 14:58:53 | POST | meus-planos-api/produtos
2026-04-10 14:59:04 | OPTIONS | meus-planos-api/produtos
2026-04-10 14:59:04 | POST | meus-planos-api/produtos
2026-04-10 14:59:09 | POST | meus-planos-api/produtos
2026-04-10 14:59:12 | OPTIONS | meus-planos-api/produtos
2026-04-10 14:59:12 | POST | meus-planos-api/produtos
2026-04-10 15:27:41 | GET | meus-planos-api/produtos
2026-04-10 15:27:41 | GET | meus-planos-api/categorias
2026-04-10 15:27:41 | GET | meus-planos-api/categorias
2026-04-10 15:27:41 | GET | meus-planos-api/produtos
2026-04-10 15:27:41 | GET | meus-planos-api/produtos
s
2026-04-10 15:28:04 | OPTIONS | meus-planos-api/produtos
2026-04-10 15:28:04 | POST | meus-planos-api/produtos
2026-04-10 15:29:22 | GET | meus-planos-api/categorias
2026-04-10 15:29:22 | GET | meus-planos-api/itens
2026-04-10 15:29:24 | GET | meus-planos-api/itens
2026-04-10 15:29:24 | GET | meus-planos-api/categorias
2026-04-10 15:29:25 | GET | meus-planos-api/categorias
2026-04-10 15:29:25 | GET | meus-planos-api/itens
2026-04-10 15:29:28 | OPTIONS | meus-planos-api/itens
2026-04-10 15:29:28 | POST | meus-planos-api/itens
2026-04-10 15:29:28 | GET | meus-planos-api/itens
2026-04-10 15:29:35 | OPTIONS | meus-planos-api/itens/1
2026-04-10 15:29:35 | PUT | meus-planos-api/itens/1
2026-04-10 15:29:41 | GET | meus-planos-api/categorias
2026-04-10 15:29:44 | GET | meus-planos-api/itens
2026-04-10 15:29:44 | GET | meus-planos-api/categorias
2026-04-10 15:29:45 | GET | meus-planos-api/itens
2026-04-10 15:29:45 | GET | meus-planos-api/categorias
2026-04-10 15:29:46 | GET | meus-planos-api/categorias
2026-04-10 15:29:46 | GET | meus-planos-api/itens
2026-04-10 15:30:00 | OPTIONS | meus-planos-api/itens/1
2026-04-10 15:30:00 | PUT | meus-planos-api/itens/1
2026-04-10 15:34:18 | OPTIONS | meus-planos-api/itens
2026-04-10 15:34:18 | POST | meus-planos-api/itens
2026-04-10 15:34:18 | GET | meus-planos-api/itens
2026-04-10 15:35:59 | GET | meus-planos-api/itens
2026-04-10 15:35:59 | GET | meus-planos-api/categorias
2026-04-10 15:36:04 | GET | meus-planos-api/categorias
2026-04-10 15:36:04 | GET | meus-planos-api/itens
2026-04-10 15:40:36 | GET | meus-planos-api/categorias
2026-04-10 15:40:36 | GET | meus-planos-api/itens
2026-04-10 15:40:51 | OPTIONS | meus-planos-api/itens/1
2026-04-10 15:40:51 | DELETE | meus-planos-api/itens/1
2026-04-10 15:40:51 | GET | meus-planos-api/itens
2026-04-10 15:41:16 | OPTIONS | meus-planos-api/itens
2026-04-10 15:41:16 | POST | meus-planos-api/itens
2026-04-10 15:41:16 | GET | meus-planos-api/itens
2026-04-10 15:43:45 | GET | meus-planos-api/categorias
2026-04-10 15:43:45 | GET | meus-planos-api/itens
2026-04-10 15:43:49 | GET | meus-planos-api/categorias
2026-04-10 15:43:49 | GET | meus-planos-api/itens
2026-04-10 15:43:57 | GET | meus-planos-api/categorias
2026-04-10 15:43:57 | GET | meus-planos-api/itens
2026-04-10 15:43:59 | GET | meus-planos-api/categorias
2026-04-10 15:43:59 | GET | meus-planos-api/itens
2026-04-10 15:44:02 | GET | meus-planos-api/categorias
2026-04-10 15:44:02 | GET | meus-planos-api/itens
2026-04-10 15:44:04 | GET | meus-planos-api/categorias
2026-04-10 15:44:04 | GET | meus-planos-api/itens
2026-04-10 15:44:06 | GET | meus-planos-api/categorias
2026-04-10 15:44:06 | GET | meus-planos-api/itens
2026-04-10 15:44:16 | GET | meus-planos-api/categorias
2026-04-10 15:44:16 | GET | meus-planos-api/itens
2026-04-10 15:47:54 | GET | meus-planos-api/categorias
2026-04-10 15:47:54 | GET | meus-planos-api/itens
2026-04-10 15:47:55 | GET | meus-planos-api/categorias
2026-04-10 15:47:55 | GET | meus-planos-api/itens
2026-04-10 15:47:55 | GET | meus-planos-api/categorias
2026-04-10 15:47:56 | GET | meus-planos-api/categorias
2026-04-10 15:47:56 | GET | meus-planos-api/itens
2026-04-10 15:50:31 | GET | meus-planos-api/categorias
2026-04-10 15:50:31 | GET | meus-planos-api/itens
2026-04-10 15:50:31 | GET | meus-planos-api/categorias
2026-04-10 15:50:32 | GET | meus-planos-api/categorias
2026-04-10 15:50:35 | GET | meus-planos-api/categorias
2026-04-10 15:50:35 | GET | meus-planos-api/itens
2026-04-10 15:50:37 | GET | meus-planos-api/categorias
2026-04-10 15:50:39 | GET | meus-planos-api/categorias
2026-04-10 15:50:39 | GET | meus-planos-api/itens
2026-04-10 15:51:03 | GET | meus-planos-api/categorias
2026-04-10 15:51:03 | GET | meus-planos-api/itens
2026-04-10 15:51:05 | GET | meus-planos-api/categorias
2026-04-10 15:51:05 | GET | meus-planos-api/itens
2026-04-10 15:51:07 | GET | meus-planos-api/categorias
2026-04-10 15:51:07 | GET | meus-planos-api/itens
2026-04-10 15:52:52 | GET | meus-planos-api/categorias
2026-04-10 15:52:52 | GET | meus-planos-api/itens
2026-04-10 15:57:44 | GET | meus-planos-api/categorias
2026-04-10 15:57:44 | GET | meus-planos-api/itens
2026-04-10 15:57:46 | GET | meus-planos-api/categorias
2026-04-10 15:57:46 | GET | meus-planos-api/itens
2026-04-10 15:57:48 | GET | meus-planos-api/categorias
2026-04-10 15:57:48 | GET | meus-planos-api/itens
2026-04-10 15:57:50 | GET | meus-planos-api/categorias
2026-04-10 15:57:50 | GET | meus-planos-api/itens
2026-04-10 15:57:55 | GET | meus-planos-api/categorias
2026-04-10 15:57:55 | GET | meus-planos-api/itens
2026-04-10 15:57:57 | GET | meus-planos-api/categorias
2026-04-10 15:57:57 | GET | meus-planos-api/itens
2026-04-10 15:58:01 | GET | meus-planos-api/categorias
2026-04-10 15:58:01 | GET | meus-planos-api/itens
2026-04-10 15:58:03 | GET | meus-planos-api/categorias
